"","rank","song","singer","music_director","lyricist","movie","actors","year"
"755",10,"Maano To Main Ganga Maa Hoon ","LataMangeshkar","Kalyanji Anandji","Anjaan","Ganga Ki Saugand","Rekha",1978
"756",11,"Tere Bina Jiya Jaye Naa ","LataMangeshkar","R D Burman","Gulzar","Ghar","Rekha, Vinod Mehra",1978
"757",12,"Dhanno Ki Aankhon Me Hai Raat Ka Suramaa ","RDBurman","R D Burman","Gulzar","Kitaab","Master Raju, Uttam Kumar, Vidya Sinha",1978
"758",13,"Aap Kahe Aur Ham Na Aaye, Aise To Halat Nahi ","LataMangeshkar","Rajesh Roshan","Amit Khanna","Des Pardes","Indrani Mukherjee, Rajesh Khanna, Tina Munim",1978
"759",14,"Mana Ho Tum, Behad Hasi ","Yesudas","Bappi Lahiri","Kaifi Azmi","Toote Khilone","",1978
"760",15,"Gabuchi Gabuchi Gam Gam Kishiki Kishiki Kam Kam ","LataMangeshkar,KishoreKumar","Khayyam","Sahir Ludhianvi","Trishul","Sachin, Poonam Dhillon",1978
"761",16,"Amir Se Hoti Hai, Aaj Mere Yaar Ki Shaadi Hai ","DevenVerma,MohammedRafi,Ravi","Ravi","Verma Malik","Aadmi Sadak Ka","Agha, Deven Verma, Shatrughan Sinha, Sujit Kumar, Vikram, Zahira",1978
"762",17,"Kya Mausam Hai, Ai Diwane Dil Chal Kahin Dur Nikal Jaae ","KishoreKumar,LataMangeshkar,MohammedRafi","Rajesh Roshan","Majrooh Sultanpuri","Doosra Aadmi","Rakhee, Rishi Kapoor",1978
"763",18,"Chaand Meraa Dil, Aa Dil Kyaa, O Tum Kyaa Jaano ","MohammedRafi,RDBurman,AshaBhosle,KishoreKumar","R D Burman","Majrooh Sultanpuri","Hum Kisi Se Kum Naheen","Kajal Kiran, Tariq, Rishi Kapoor",1978
"764",19,"Jab Aati Hogi Yaad Meri ","MohammedRafi,SulakshanaPandit","Laxmikant Pyarelal","Gulshan Bawra","Phaansi","Shashi Kapoor",1978
"765",20,"Arre Deewano Mujeh..Men Hoon Don ","KishoreKumar","Kalyanji Anandji","Anjaan","Don","Shetty, Mac Mohan, Amitabh Bachchan, Kamal Kapoor",1978
"766",21,"Pyar Manga Hai Tumhee Se Naa Inkar Karo ","KishoreKumar","Bappi Lahiri","Indeevar","College Girl","Sachin, Bindiya Goswami",1978
"767",22,"Jaisaa Des Vaisaa Bhes Phir Kyaa Daranaa ","KishoreKumar,LataMangeshkar","Rajesh Roshan","Amit Khanna","Des Pardes","Dev Anand, Tina Munim",1978
"768",23,"Main Tulsi Tere Aangan Ki ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Main Tulsi Tere Aangan Ki","Asha Parekh, Vijay Anand, Nutan",1978
"769",24,"Chanchal Shital Nirmal Komal Sangit Ki Devi ","Mukesh","Laxmikant Pyarelal","Anand Bakshi","Satyam Shivam Sundaram","Zeenat Aman, Shashi Kapoor",1978
"770",25,"Meri Dushman Hai Ye Meri Uljhan Hai Ye ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Main Tulsi Tere Aangan Ki","Neeta Mehta, Vinod Khanna",1978
"771",26,"Ham Premee Prem Karana Jaane ","ShailendraSingh,MohammedRafi,KishoreKumar","Laxmikant Pyarelal","Majrooh Sultanpuri","Parvarish","Shammi Kapoor, Amitabh Bachchan, Vinod Khanna",1978
"772",27,"Dil Se Mile Dil ","KishoreKumar","Bappi Lahiri","Amit Khanna","Dil Sey Miley Dil","",1978
"773",28,"Somvaar Ko Hum Mile Mangalvaar Ko Nain ","SulakshanaPandit,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Apnapan","Jeetendra, Sulakshana Pandit",1978
"774",29,"Din Ba Din Wo Mere Dil Se ","LataMangeshkar","Kalyanji Anandji","Anjaan","Trishna","Rakhee",1978
"775",30,"Ham Bevafaa Hargiz Na The, Par Ham Vafaa Kar Naa Sake ","KishoreKumar","R D Burman","Anand Bakshi","Shalimar","Dharmendra",1978
"776",31,"Le Toh Aaye Ho Hame Sapno Ke Ganv Me (Sajna O Sajna) ","Hemlata","Ravindra Jain","Ravindra Jain","Dulhan Wahi Jo Piya Man Bhaaye","Rameshwari",1978
"777",32,"Kaa Karun Sajani Aaye Na Baalam ","Yesudas","Rajesh Roshan","Amit Khanna","Swami","Vikram, Shabana Azmi, Girish Karnad, Dheeraj Kumar",1978
"778",33,"Aji Thahro Zara Dekho Kuchh Socho ","KishoreKumar,MohammedRafi,ShailendraSingh","Laxmikant Pyarelal","Majrooh Sultanpuri","Parvarish","Shabana Azmi, Neetu Singh, Amitabh Bachchan, Vinod Khanna",1978
"779",34,"O Mungda, Mungda, Mungda, Mai Gud Kee Dalee ","UshaMangeshkar","Rajesh Roshan","Majrooh Sultanpuri","Inkaar","",1978
"780",1,"Bhang Kaa Rang, Khai Ke Paan Banaaras Valaa ","KishoreKumar","Kalyanji Anandji","Anjaan","Don","Zeenat Aman, Amitabh Bachchan",1979
"781",2,"O Sathi Re, Tere Bina Bhi Kya Jina ","KishoreKumar","Kalyanji Anandji","Anjaan","Muqaddar Ka Sikandar","Rakhee, Amitabh Bachchan, Vinod Khanna",1979
"782",3,"Noori Noori, Aa Jaa Re O Mere Dilabar Aa Jaa (Part ","LataMangeshkar,NitinMukesh","Khayyam","Jan Nisar Akhtar","Noorie","Farooq Sheikh, Poonam Dhillon",1979
"783",4,"Na Jaane Kaise ","KishoreKumar,MohammedRafi,SumanKalyanpur","Laxmikant Pyarelal","Anjaan","Badaltey Rishtey","Jeetendra, Rishi Kapoor, Reena Roy",1979
"784",5,"Ham Bevafaa Hargiz Na The, Par Ham Vafaa Kar Naa Sake ","KishoreKumar","R D Burman","Anand Bakshi","Shalimar","Dharmendra",1979
"785",6,"Main Tulsi Tere Aangan Ki ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Main Tulsi Tere Aangan Ki","Asha Parekh, Vijay Anand, Nutan",1979
"786",7,"Jijaaji Jijaaji Hone Vaale Jijaaji ","SureshWadkar,DilrajKaur,AnuradhaPaudwal","Usha Khanna","Indeevar","Saajan Bina Suhagan","Padmini Kolhapure, Vinod Mehra",1979
"787",8,"Mere Pass Aao Mere Dosto ","AmitabhBachchan,MasterRavi","Rajesh Roshan","Anand Bakshi","Mr. Natwarlal","Rekha, Amitabh Bachchan",1979
"788",9,"Salam-E-Ishq Meri Jaan Zara Kabul Kar Lo ","LataMangeshkar,KishoreKumar","Kalyanji Anandji","Anjaan","Muqaddar Ka Sikandar","Amitabh Bachchan, Rekha",1979
"789",10,"Tere Haathon Mein Pehna Ke ","MohammedRafi,AshaBhosle","Laxmikant Pyarelal","Varma Malik","Jaani Dushman","Neetu Singh, Reena Roy, Jeetendra",1979
"790",11,"Madhuban Kushbu Detaa Hai ","Yesudas,AnuradhaPaudwal","Usha Khanna","Amit Khanna","Saajan Bina Suhagan","Nutan, Padmini Kolhapure, Rajendra Kumar",1979
"791",12,"Dil Ke Tukde Tukde Kar Ke, Muskura Ke Chal Diye ","Yesudas","Usha Khanna","Ravindra Jain","Dada","Madhumalini, Shashi Puri, Jagdeep, Vinod Mehra, Bindiya Goswami",1979
"792",13,"Rote Huye Aate Hain Sab, Hansta Hua Jo Jayega ","KishoreKumar","Kalyanji Anandji","Anjaan","Muqaddar Ka Sikandar","Vinod Khanna, Amitabh Bachchan",1979
"793",14,"Ik Rasta Hai Jindagee Jo Tham Gaye Toh Kuchh Nahee ","KishoreKumar,LataMangeshkar","Rajesh Roshan","Sahir Ludhianvi","Kaala Patthar","Shashi Kapoor",1979
"794",15,"O Meri Jaan Bol Meri Jaan ","KishoreKumar,AnuradhaPaudwal","Laxmikant Pyarelal","Varma Malik","Jaani Dushman","Neetu Singh, Jeetendra",1979
"795",16,"Mai Tere Pyar Me Pagal Aise Gumta Hu ","LataMangeshkar,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Prem Bandhan","Moushumi Chatterjee, Rajesh Khanna",1979
"796",17,"Saavan Ke Jhule Pade ","LataMangeshkar","R D Burman","Anand Bakshi","Jurmana","Amitabh Bachchan, Rakhee, Vinod Mehra",1979
"797",18,"One Two Cha Cha Cha ","UshaUthup","R D Burman","Anand Bakshi","Shalimar","Zeenat Aman, Helen, Dharmendra",1979
"798",19,"Nahi Nahi Koi Tumsa Haseen ","KishoreKumar,AshaBhosle","Rajesh Roshan","Anand Bakshi","Swarag Narak","Jeetendra, Moushumi Chatterjee",1979
"799",20,"Meri Dushman Hai Ye Meri Uljhan Hai Ye ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Main Tulsi Tere Aangan Ki","Neeta Mehta, Vinod Khanna",1979
"800",21,"Do Lafzon Ki Hai Dil Ki Kahani ","AshaBhosle,AmitabhBachchan,SharadKumar","R D Burman","Anand Bakshi","The Great Gambler","Zeenat Aman, Amitabh Bachchan",1979
"801",22,"Thande Thande Pani Se Nahana Chahiye ","MahendraKapoor,AshaBhosle","Ravindra Jain","Anand Bakshi","Pati Patni Aur Woh","Vidya Sinha, Sanjeev Kumar",1979
"802",23,"Din Ba Din Wo Mere Dil Se ","LataMangeshkar","Kalyanji Anandji","Anjaan","Trishna","Rakhee",1979
"803",24,"Aaina Wohi Rehta Hai Chehre Badal Jaate Hai ","LataMangeshkar","R D Burman","Anand Bakshi","Shalimar","Zeenat Aman",1979
"804",25,"Linaa O Linaa Dil Tune Chhinaa ","KishoreKumar","Rajesh Roshan","Anand Bakshi","Swarag Narak","Vinod Mehra, Tanuja, Shabana Azmi, Sanjeev Kumar, Moushumi Chatterjee, Jeetendra",1979
"805",26,"Chalo Re Doli Uthaao Kahaar ","MohammedRafi","Laxmikant Pyarelal","Varma Malik","Jaani Dushman","Yogita Bali, Vinod Mehra, Sunil Dutt, Shatrughan Sinha, Sarika, Rekha, Reena Roy, Jeetendra",1979
"806",27,"Gulmohar Agar Tumhara Nam Hota ","LataMangeshkar,KishoreKumar","R D Burman","Gulzar","Devata","Sarika, Rakesh Roshan",1979
"807",28,"Chori Chori, Paradesiyaa Ye Sach Hai Piyaa ","KishoreKumar,LataMangeshkar","Rajesh Roshan","Anand Bakshi","Mr. Natwarlal","Amitabh Bachchan, Amjad Khan, Kader Khan, Rekha",1979
"808",29,"Suniye, Kahiye, Kahate Sunate Baaton-Baaton Men Pyaar ","AshaBhosle,KishoreKumar","Rajesh Roshan","Amit Khanna","Baton Baton Mein","Amol Palekar, Tina Munim",1979
"809",30,"Baanhon Me Teri Masti Ke Ghere ","LataMangeshkar,MohammedRafi","Rajesh Roshan","Sahir Ludhianvi","Kaala Patthar","Shashi Kapoor, Parveen Babi",1979
"810",31,"Pahale Pahale Pyaar Kee Mulaakaate Yaad Hai ","AshaBhosle,KishoreKumar","R D Burman","Anand Bakshi","The Great Gambler","Neetu Singh, Amitabh Bachchan",1979
"811",32,"Dafli Wale Dafle Baja ","MohammedRafi,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Sargam","Rishi Kapoor, Jaya Prada",1979
"812",33,"Aanewala Pal Jane Wala Hai ","KishoreKumar","R D Burman","Gulzar","Golmaal","Amol Palekar, Bindiya Goswami, Utpal Dutt",1979
"813",34,"Aag Hai Lagi Hui Har Taraf Yaha Waha ","MohammedRafi","Rajesh Roshan","Anand Bakshi","Swarag Narak","Jeetendra",1979
"814",35,"Chand Churake Laya Hu ","LataMangeshkar,KishoreKumar","R D Burman","Gulzar","Devata","Shabana Azmi, Sanjeev Kumar",1979
"815",36,"Manu Bhai Motor Chale ","KishoreKumar","Laxmikant Pyarelal","Rajinder Krishan","Phool Khile Hain Gulshan Gulshan","Rishi Kapoor",1979
"816",37,"Rakkasa Mera Naam, Ho Rakkasa Mera Naam ","AshaBhosle,MohammedRafi","R D Burman","Anand Bakshi","The Great Gambler","Amitabh Bachchan, Zeenat Aman",1979
"817",38,"Jaan Ki Kasam Sach ","LataMangeshkar,KishoreKumar","R D Burman","Anand Bakshi","Azaad","Dharmendra, Hema Malini",1979
"818",39,"Pyar Zindagi Hai Pyar Bandagi Hai Bandagi Hai ","MahendraKapoor,AshaBhosle,LataMangeshkar","Kalyanji Anandji","Anjaan","Muqaddar Ka Sikandar","Amitabh Bachchan, Vinod Khanna, Rakhee",1979
"819",1,"Dafli Wale Dafle Baja ","MohammedRafi,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Sargam","Rishi Kapoor, Jaya Prada",1980
"820",2,"Om Shanti Om Shanti Shanti Om ","KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Karz","Rishi Kapoor",1980
"821",3,"Shisha Ho Ya Dil Ho Aakhir ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Aasha","Jeetendra",1980
"822",4,"Aap Jaisa Koi Meri Zindagi Mein ","NaziaHassan","Kalyanji Anandji","Biddu","Qurbani","Feroj Khan, Zeenat Aman",1980
"823",5,"Koyal Boli Duniyaa Doli Samajho Dil Ki Boli ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Sargam","Jaya Prada, Rishi Kapoor",1980
"824",6,"Lailaa Main Lailaa Aisi Hun Lailaa ","Kanchan,AmitKumar","Kalyanji Anandji","Indeevar","Qurbani","Amjad Khan, Feroz Khan, Zeenat Aman",1980
"825",7,"Ae Yaar Sun Yaari Teri Mujhe Zindagi Se ","ShailendraSingh,MohammedRafi,AshaBhosle","Laxmikant Pyarelal","Anand Bakshi","Suhaag","Amitabh Bachchan, Shashi Kapoor",1980
"826",8,"Pal Do Pal Ka Saath Hamara ","AshaBhosle,MohammedRafi","R D Burman","Sahir Ludhianvi","The Burning Train","Vinod Mehra, Vinod Khanna, Simi Garewal, Parveen Babi, Neetu Singh, Jeetendra, Hema Malini, Dharmendra, Danny Denzongpa",1980
"827",9,"Teri Rab Ne Bana Di Jodi ","ShailendraSingh,MohammedRafi,AshaBhosle","Laxmikant Pyarelal","Anand Bakshi","Suhaag","Amitabh Bachchan, Shashi Kapoor, Rekha, Parveen Babi",1980
"828",11,"Humen Tumse Pyar Kitna Ye Hum Nahi ","KishoreKumar","R D Burman","Majrooh Sultanpuri","Kudrat","Rajesh Khanna, Hema Malini",1980
"829",12,"Tune O Rangile Kaisa Jadu Kiya, Piya Piya Bole Matvala Jiya ","LataMangeshkar","R D Burman","Majrooh Sultanpuri","Kudrat","Hema Malini, Rajesh Khanna",1980
"830",13,"Tu Kitne Baras Ka Tu Kitne Baras Ki ","LataMangeshkar,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Karz","Tina Munim, Rishi Kapoor",1980
"831",14,"Main To Beghar Hoon ","ShashiKapoor,AshaBhosle","Laxmikant Pyarelal","Anand Bakshi","Suhaag","Shashi Kapoor, Parveen Babi",1980
"832",15,"Sultaana Sultaana Mera Naam Hai Sultaana ","UshaMangeshkar","Ram Laxman","Ravindra Rawal","Taraana","Mithun Chakraborty, Ranjeeta",1980
"833",16,"Chhukar Mere Mann Ko Kiya Tune Kya Ishaara ","KishoreKumar","Rajesh Roshan","Anand Bakshi","Yaarana","Neetu Singh, Amitabh Bachchan",1980
"834",17,"Aanewala Pal Jane Wala Hai ","KishoreKumar","R D Burman","Gulzar","Golmaal","Amol Palekar, Bindiya Goswami, Utpal Dutt",1980
"835",18,"Sapno Ke Shahar Ham Banayenge Ghar ","KishoreKumar","Bappi Lahiri","Ravindra Peepat","Ahsaas","Dina Pathak, Rakesh Bedi",1980
"836",19,"Hum To Chale Pardes Hum Pardesi Ho Gaye ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Sargam","Jaya Prada, Rishi Kapoor",1980
"837",20,"Parvat Ke Is Paar Parvat Ke Us Paar ","LataMangeshkar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Sargam","Rishi Kapoor, Jaya Prada",1980
"838",21,"Chaand Jaise Mukhade Pe Bindiya Sitaara ","Yesudas","Raj Kamal","Indeevar","Saawan Ko Aane Do","Arun Govil, Zarina Wahab, Amrish Puri",1980
"839",22,"Saa Re Gaa Maa Paa Ma Ga Re Sa Gao ","LataMangeshkar,KishoreKumar","Rajesh Roshan","Amit Khanna","Man Pasand","Dev Anand, Tina Munim",1980
"840",23,"Hazaar Raahen Mudke Dekhi ","LataMangeshkar,KishoreKumar","Khayyam","Gulzar","Thodi Si Bewafaii","Shabana Azmi, Rajesh Khanna",1980
"841",24,"Chori Chori Koi Aaye Chupke ","LataMangeshkar","Khayyam","Naqsh Lyallpuri","Noorie","Poonam Dhillon",1980
"842",25,"Logon Ka Dil Agar Ha Jitna Tumko Hai ","MohammedRafi","Rajesh Roshan","Amit Khanna","Man Pasand","Girish Karnad, Mehmood, Tina Munim, Dev Anand",1980
"843",26,"Tujhe Pe Qurbaan Meri Jaan ","KishoreKumar,Anwar","Kalyanji Anandji","Farooq Qaisar","Qurbani","Feroz Khan, Vinod Khanna",1980
"844",27,"Kya Dekhte Ho, Surat Tumhari ","MohammedRafi,AshaBhosle","Kalyanji Anandji","Indeevar","Qurbani","Feroz Khan, Zeenat Aman",1980
"845",29,"Maine Puchha Chand Se Ke ","MohammedRafi","R D Burman","Anand Bakshi","Abdullah","Zeenat Aman, Sanjay Khan",1980
"846",30,"Bane Chahe Dushman Zamana Hamara ","KishoreKumar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Dostana","Zeenat Aman, Shatrughan Sinha, Amitabh Bachchan",1980
"847",31,"Jab Chhaye Mera Jadu ","AshaBhosle","Rajesh Roshan","Amit Khanna","Lootmaar","Dev Anand, Tina Munim",1980
"848",32,"Pallo Latke Re Mharo Pallo Latke ","AshaBhosle,KishoreKumar","R D Burman","Majrooh Sultanpuri","Naukar","Sanjeev Kumar, Jaya Bhaduri",1980
"849",33,"Uthe Sab Ke Kadam Taaraa Ram Pam Pam ","AmitKumar,LataMangeshkar,PearlPadamsee","Rajesh Roshan","Amit Khanna","Baton Baton Mein","Tina Munim, Amol Palekar",1980
"850",34,"Kalee Ghata Chhayee, Prem Ruth Aayee (Male) ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Kali Ghata","Shashi Kapoor, Rekha",1980
"851",35,"Hari Om Hari ","UshaUthup","Bappi Lahiri","Anjaan","Pyara Dushman","",1980
"852",1,"Mere Angne Me Tumhara Kya Kaam Hai ","AlkaYagnik,AmitabhBachchan","Kalyanji Anandji","Anjaan","Laawaris","Rakhee, Zeenat Aman, Amitabh Bachchan, Amjad Khan, Ranjeet",1981
"853",2,"Zindagi Ki Naa Tute Ladi - II ","NitinMukesh,LataMangeshkar","Laxmikant Pyarelal","Santosh Anand","Kranti","Dilip Kumar, Hema Malini, Manoj Kumar, Parveen Babi, Shashi Kapoor, Shatrughan Sinha",1981
"854",3,"Chal Mere Bhai Tere Hath Jodta Hu ","RishiKapoor,AmitabhBachchan,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Naseeb","Amitabh Bachchan",1981
"855",4,"Yaad Aa Rahi Hai, Teri Yaad Aa Rahi Hai (Duet) ","AmitKumar,LataMangeshkar","R D Burman","Anand Bakshi","Love Story","Kumar Gaurav, Vijayetaa Pandit",1981
"856",5,"Tere Mere Bich Men Kaisaa Hai Ye Bandhan Anjaanaa ","SPBalasubramaniam,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Ek Duuje Ke Liye","Kamal Haasan, Rati Agnihotri",1981
"857",6,"Tum Tum Taraaraa ","NitinMukesh,MohammedRafi,LataMangeshkar,KishoreKumar","Laxmikant Pyarelal","Santosh Anand","Kranti","Dilip Kumar, Hema Malini, Manoj Kumar, Parveen Babi, Shashi Kapoor, Shatrughan Sinha",1981
"858",8,"Mere Jivan Saathi, Pyar Kiye Ja ","AnuradhaPaudwal,SPBalasubramaniam","Laxmikant Pyarelal","Anand Bakshi","Ek Duuje Ke Liye","Rati Agnihotri, Kamal Haasan",1981
"859",9,"Dekho Main Ne Dekhaa Hai Yah Ik Sapanaa ","AmitKumar,LataMangeshkar","R D Burman","Anand Bakshi","Love Story","Vijayetaa Pandit, Kumar Gaurav",1981
"860",10,"Jone Jaani Janaardan ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Naseeb","Amitabh Bachchan",1981
"861",11,"Hari Om Hari ","UshaUthup","Bappi Lahiri","Anjaan","Pyara Dushman","",1981
"862",12,"Ek Raasta Do Rahi, Ek Chor Ek Sipahi ","KishoreKumar,MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Ram Balram","Dharmendra, Amitabh Bachchan",1981
"863",13,"Dekha Ek Khwab To Ye Silasile Huye ","KishoreKumar,LataMangeshkar","Shiv Hari","Javed Akhtar","Silsila","Amitabh Bachchan, Jaya Bhaduri, Rekha",1981
"864",14,"Yammaa Yammaa Ye Kubasurat Samaan ","MohammedRafi,RDBurman","R D Burman","Anand Bakshi","Shaan","Sunil Dutt, Shashi Kapoor, Parveen Babi, Kulbhushan Kharbanda, Bindiya Goswami, Amitabh Bachchan",1981
"865",15,"Dosto Se Pyar Kiya ","UshaUthup","R D Burman","Anand Bakshi","Shaan","",1981
"866",16,"Chal Chameli Baag Mein, Mewa Khilaunga ","LataMangeshkar,SureshWadkar","Laxmikant Pyarelal","Anand Bakshi","Krodhi","Dharmendra, Ranjeeta, Sachin",1981
"867",17,"Pyaar Karane Vaale ","AshaBhosle,PankajUdhas","R D Burman","Anand Bakshi","Shaan","Bindu, Bindiya Goswami, Amitabh Bachchan, Shashi Kapoor, Parveen Babi",1981
"868",18,"He Apani To Jaise-Taise Aapka Kya Hoga Janaab-e-Aali ","KishoreKumar","Kalyanji Anandji","Prakash Mehra","Laawaris","Ranjeet, Amitabh Bachchan",1981
"869",19,"Naa Jane Kya Huwa Jo Tune Chhu Liya ","LataMangeshkar","Khayyam","Naqsh Lyallpuri","Dard","Rajesh Khanna, Hema Malini",1981
"870",20,"Disco Deewane ","NaziaHassan","Biddu","Anwar Khalid","Disco Deewaane","",1981
"871",21,"Rambha Ho Ho Ho Main Naachu Tum Naacho ","UshaUthup","Bappi Lahiri","Indeevar","Armaan","Shammi Kapoor",1981
"872",22,"Aa Dekhe Jara Kisme Kitna Hai Dam ","AshaBhosle,KishoreKumar,RDBurman","R D Burman","Anand Bakshi","Rocky","Sanjay Dutt",1981
"873",23,"Tu Is Tarah Se Meri Zindagi Me Shaamil Hai (By Rafi) ","MohammedRafi","Usha Khanna","Nida Fazli","Aap To Aise Na The","Ranjeeta, Raj Babbar, Madan Puri, Deepak Parashar",1981
"874",24,"Yak Bayak Koi Kahi Mil Jata Hai Yak Bayak ","KishoreKumar,AshaBhosle","Kalyanji Anandji","Rajinder Krishan","Katilon Ka Katil","Rishi Kapoor",1981
"875",25,"Aao Na Pyar Kare ","NaziaHassan","Biddu","Nazia Hassan","Disco Deewaane","",1981
"876",26,"Looie Shamasha ","NitinMukesh,LataMangeshkar","Laxmikant Pyarelal","Santosh Anand","Kranti","Hema Malini",1981
"877",27,"Mere Dost Kissa Yeh Kya Ho Gaya ","MohammedRafi","Laxmikant Pyarelal","Anand Bakshi","Dostana","Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman",1981
"878",28,"Aate Jaate Hue Main Sab Pe Nazar Rakhta Hun ","MohammedRafi","R D Burman","Anand Bakshi","Shaan","Mazhar Khan",1981
"879",29,"Vaqt Se Pahale Qisamat Se Jyaadaa ","KishoreKumar","R D Burman","Vitthalbhai Patel","Biwi O Biwi","Poonam Dhillon, Randhir Kapoor, Sanjeev Kumar, Simi Garewal, Yogita Bali",1981
"880",30,"Mere Naseeb Mein Tu Hai Ke Nahi ","LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Naseeb","Amitabh Bachchan, Hema Malini",1981
"881",31,"Kitane Bhi Tu Kar Le Sitam ","AshaBhosle,KishoreKumar","R D Burman","Gulshan Bawra","Sanam Teri Kasam","Reena Roy, Kamal Haasan",1981
"882",32,"Hum Bane Tum Bane ","SPBalasubramaniam,LataMangeshkar","Laxmikant Pyarelal","Anand Bakshi","Ek Duuje Ke Liye","Kamal Haasan, Rati Agnihotri",1981
"883",1,"Angrezi Men Kahate Hain Ke I Love You ","LataMangeshkar,KishoreKumar","Rajesh Roshan","Majrooh Sultanpuri","Khuddaar","Amitabh Bachchan, Parveen Babi",1982
"884",2,"Zindagi Aa Raha Hoon Main ","KishoreKumar","Hridaynath Mangeshkar","Javed Akhtar","Mashaal","Anil Kapoor",1982
"885",3,"Rambha Ho Ho Ho Main Naachu Tum Naacho ","UshaUthup","Bappi Lahiri","Indeevar","Armaan","Shammi Kapoor",1982
"886",4,"Kitane Bhi Tu Kar Le Sitam ","AshaBhosle,KishoreKumar","R D Burman","Gulshan Bawra","Sanam Teri Kasam","Reena Roy, Kamal Haasan",1982
"887",5,"Main Hu Prem Rogi Meri Dava To Karao ","LataMangeshkar,SureshWadkar","Laxmikant Pyarelal","Santosh Anand","Prem Rog","Tanuja, Shammi Kapoor, Rishi Kapoor, Padmini Kolhapure, Nanda",1982
"888",6,"Bolo Bolo Kuch To Bolo Samne Wale Le Gaye Bazi ","MohammedRafi,AshaBhosle","R D Burman","Majrooh Sultanpuri","Zamaane Ko Dikhana Hai","Rishi Kapoor",1982
"889",7,"O Raaju O Daddy  ","SPBalasubramaniam","Laxmikant Pyarelal","Anand Bakshi","Ek Hi Bhool","Rekha, Jeetendra",1982
"890",8,"Dil Cheez Kya Hai, Aap Meri Jaan Lijiye ","AshaBhosle","Khayyam","Shahryar","Umrao Jaan","Farooq Sheikh, Rekha",1982
"891",9,"Jaanaan O Meri Jaanaan Are Main Hun Tere Kvaabon Kaa Raajaa ","RDBurman","R D Burman","Gulshan Bawra","Sanam Teri Kasam","Reena Roy, Kamal Haasan",1982
"892",10,"Mohabbat Hai Kyaa Chiz, Ham Ko Bataao ","LataMangeshkar,SureshWadkar","Laxmikant Pyarelal","Santosh Anand","Prem Rog","Rishi Kapoor, Padmini Kolhapure",1982
"893",11,"Pyar Ka Wada Fifty Fifty, Kya Hai Irada Fifty Fifty ","KishoreKumar,AshaBhosle","Laxmikant Pyarelal","Anand Bakshi","Fiffty Fiffty","Rajesh Khanna",1982
"894",12,"Yeh Gotey Dar Lahenga (Chhuriya Chal Jaye Meri Matwali Chal Pe) ","MohammedRafi,AshaBhosle","Naushad","Majrooh Sultanpuri","Dharam Kanta","Reena Roy, Rajesh Khanna",1982
"895",13,"Mai Tum Me Sama Jaaun, Tum Mujh Me ","LataMangeshkar,SPBalasubramaniam","Laxmikant Pyarelal","Anand Bakshi","Raaste Pyar Ke","Jeetendra, Rekha",1982
"896",14,"Chod Maza Haath Mala Pine De ","AshaBhosle,AmitKumar","Laxmikant Pyarelal","Anand Bakshi","Fiffty Fiffty","Rajesh Khanna, Tina Munim",1982
"897",15,"Dil Bole Boom Boom ","NaziaHassan","Biddu","Indeevar","Star","Kumar Gaurav, Rati Agnihotri",1982
"898",16,"Dil Lena Khel Hai Diladar Ka ","RDBurman","R D Burman","Majrooh Sultanpuri","Zamaane Ko Dikhana Hai","Padmini Kolhapure, Rishi Kapoor",1982
"899",17,"Dukki Pe Dukki Ho Ya Satte Pe Satta ","BhupinderSingh,KishoreKumar,AshaBhosle,SapanChakravarty,RDBurman","R D Burman","Gulshan Bawra","Satte Pe Satta","Amitabh Bachchan",1982
"900",18,"Main Ek Disco Tu Ek Disco ","KishoreKumar,LataMangeshkar","Rajesh Roshan","Majrooh Sultanpuri","Khuddaar","Amitabh Bachchan",1982
"901",19,"Taane Din Tandaana Tandaana Tandaana ","AshaBhosle,KishoreKumar","Laxmikant Pyarelal","Anand Bakshi","Desh Premee","Sharmila Tagore, Parveen Babi, Navin Nischol, Hema Malini, Amitabh Bachchan",1982
